time,open,high,low,close,成交股數,成交金額,成交筆數,漲跌點數,外資買賣差額
2000-11-04,5858.11,5875.08,5673.0,5677.3,2292375523,84664978725,575667,-118.78,
2000-11-06,5679.09,5708.77,5609.14,5657.48,1534774000,62882692450,383613,-19.82,
2000-11-07,5721.88,5877.77,5720.89,5877.77,2428618965,101719836871,613483,220.29,
2000-11-08,5926.4,6164.62,5889.01,6067.94,3075477586,124660166509,763568,190.17,
2000-11-09,6025.16,6089.55,5926.64,6089.55,2859283588,119409981085,740420,21.61,
2000-11-10,6039.19,6126.09,6018.45,6088.74,2825801239,112437974770,734823,-0.81,
2000-11-13,5878.64,5878.64,5748.43,5793.52,1666076454,60810022907,428927,-295.22,
2000-11-14,5747.0,5855.28,5721.69,5772.51,1874294499,69578178399,506385,-21.01,
2000-11-15,5896.64,5942.06,5696.01,5737.02,2267915869,90341682619,607615,-35.49,
2000-11-16,5554.0,5581.93,5436.85,5454.13,1830085801,61349350180,485725,-282.89,
2000-11-17,5264.93,5367.65,5168.97,5351.36,1857399999,62849329968,504017,-102.77,
2000-11-18,5255.66,5354.94,5134.31,5167.35,1663858563,51495584872,465674,-184.01,
2000-11-20,4994.73,5036.62,4841.67,4845.21,1525467000,45897221800,395842,-322.14,
2000-11-21,4770.78,5103.0,4760.68,5103.0,2363772625,73977517101,606914,257.79,
2000-11-22,5128.98,5293.89,5113.22,5130.61,2871830212,97257955652,726417,27.61,
2000-11-23,5057.3,5148.3,5032.2,5146.92,1864078993,61793612370,471392,16.31,
2000-11-24,5218.18,5423.43,5218.18,5419.99,2768536125,97153678091,682272,273.07,
2000-11-27,5510.8,5526.13,5384.04,5433.78,2678979197,93619303575,635769,13.79,
2000-11-28,5388.68,5411.0,5337.42,5362.26,1647807379,53293757936,416971,-71.52,
2000-11-29,5275.38,5386.36,5266.14,5319.46,1801731263,57541147000,457535,-42.8,
2000-11-30,5323.7,5372.01,5223.31,5256.93,1682149387,57859081753,440185,-62.53,
2000-12-01,5173.02,5342.06,5163.23,5342.06,1541937021,58204451003,424568,85.13,
2000-12-02,5346.93,5379.0,5260.97,5277.35,1720828324,53121391620,456123,-64.71,
2000-12-04,5239.82,5243.05,5168.91,5174.02,1008862000,28905984820,265586,-103.33,
2000-12-05,5139.53,5241.17,5102.68,5199.2,1790036585,55332658814,450917,25.18,
2000-12-06,5323.2,5366.79,5164.43,5170.62,2247859445,77531560648,565646,-28.58,
2000-12-07,5131.94,5216.22,5131.94,5212.73,1485013275,48512915866,388217,42.11,
2000-12-08,5216.36,5269.62,5186.35,5252.83,1677775289,50489086450,417530,40.1,
2000-12-11,5283.81,5300.3,5237.19,5284.41,1566903776,44854841462,367971,31.58,
2000-12-12,5320.61,5403.14,5320.61,5380.09,2100370033,67902934315,525005,95.68,
2000-12-13,5380.34,5397.29,5332.52,5384.36,1734028982,46360977011,415459,4.27,
2000-12-14,5350.26,5350.26,5274.15,5320.16,1515911288,36670702941,357135,-64.2,
2000-12-15,5256.09,5264.18,5202.04,5224.74,1212578496,31545310072,290456,-95.42,
2000-12-16,5179.46,5205.51,5132.76,5134.1,976274018,28252950752,265364,-90.64,
2000-12-18,5116.07,5127.73,5022.34,5055.2,919992000,26068593370,234322,-78.9,
2000-12-19,5004.6,5044.07,4957.27,5040.25,1206518505,31687513837,289161,-14.95,
2000-12-20,4966.8,4998.35,4919.2,4947.89,1122511656,26505071243,254313,-92.36,
2000-12-21,4834.76,4834.76,4797.27,4817.22,673039252,15002513027,139974,-130.67,
2000-12-22,4765.1,4888.35,4728.41,4811.22,1687254620,46683023512,432815,-6.0,
2000-12-26,4871.86,4880.41,4711.38,4721.36,1063663956,29094968320,278409,-89.86,
2000-12-27,4663.65,4663.65,4602.95,4614.63,818957390,21520425144,200653,-106.73,
2000-12-28,4581.06,4797.14,4555.91,4797.14,1997498707,58471935718,494791,182.51,
2000-12-29,4797.08,4813.64,4728.43,4743.94,1480987809,43326036681,365897,-53.2,
2000-12-30,4687.95,4793.24,4670.39,4739.09,1409359000,33175049087,336794,-4.85,
2001-01-02,4717.49,4945.09,4678.0,4935.28,2292485000,64870815800,559757,196.19,
2001-01-03,4843.54,4970.45,4831.12,4894.79,2542050638,71815935113,618936,-40.49,
2001-01-04,5028.32,5169.13,5028.32,5136.13,3146064773,89357810078,655896,241.34,
2001-01-05,5153.01,5295.53,5117.63,5295.53,3661020587,115643323143,825458,159.4,
2001-01-08,5248.1,5368.77,5188.51,5188.51,3866257443,116894395143,844584,-107.02,
2001-01-09,5206.5,5376.12,5206.5,5376.12,3466333523,111291943775,766716,187.61,
2001-01-10,5406.13,5476.9,5350.07,5436.78,3986848669,125859565687,867768,60.66,
2001-01-11,5475.59,5531.2,5348.34,5369.24,4067413686,127009208461,886751,-67.54,
2001-01-12,5404.35,5423.19,5288.79,5339.4,2834506289,85842277992,635219,-29.84,
2001-01-15,5292.75,5380.49,5254.83,5379.66,1997416517,59466915233,469871,40.26,
2001-01-16,5399.7,5665.98,5399.7,5662.94,3887595848,129316189346,851751,283.28,
2001-01-17,5702.87,5805.26,5652.52,5769.95,4606605180,156179017763,989415,107.01,
2001-01-18,5803.52,5892.53,5734.49,5847.91,4925793943,162469388944,1067076,77.96,
2001-01-29,5850.7,5933.68,5680.06,5680.06,3862467000,121186818390,782978,-167.85,
2001-01-30,5685.19,5792.5,5577.87,5792.5,3373217414,112949970526,759706,112.44,
2001-01-31,5853.62,5992.43,5821.89,5936.2,4498851725,166506529662,988075,143.7,
2001-02-01,5927.25,5975.05,5850.99,5897.93,3833282401,134662037489,880793,-38.27,
2001-02-02,5958.78,6103.1,5958.78,6049.26,4652432249,165946326762,1008616,151.33,
2001-02-05,6012.43,6012.43,5867.79,5932.42,4154596340,134068853561,931407,-116.84,
2001-02-06,5905.6,6042.72,5828.33,5849.06,4341774227,143665230013,985709,-83.36,
